CustomerID,Name,Age,Gender,City,State,Country,SignupDate,PrimeMember
4331c5fa-0c04-4383-82b1-e30894c79faa,Larry Gallagher,54,Male,Patelberg,Maine,India,07-09-2021,Yes
b10b93c8-d812-4bc0-8016-7a637bab554d,Thomas Moore,53,Female,Lake Jeffreyfurt,Massachusetts,India,13-05-2022,No
6c3cbc77-3ea6-4bb0-b038-10bad28721e9,Brandon Barton,36,Female,Hoffmanborough,Maine,India,06-09-2023,No
d2eb2172-0349-4a75-8970-e5993e8fd9ef,Drew Stewart,58,Male,North Kyle,Indiana,India,27-03-2021,No
e7bb1a14-fd73-44ae-9323-4f444c5810a5,William Mitchell,42,Male,South Kimberlyburgh,Delaware,India,09-11-2020,Yes
0c182871-78e7-4f6a-a877-804f431afe1e,Kevin Huynh,33,Male,North Daniel,California,India,07-11-2023,No
d3df1ad0-1fa0-4bd3-9ea0-59d36db80e4f,William Martinez,46,Female,West Paula,Virginia,India,19-05-2021,Yes
e5eb8fc8-8b60-45ce-9cb5-756e3e217fcc,Priscilla Rollins,58,Female,Gibsonchester,Ohio,India,30-07-2024,No
8530914e-b31d-4774-a9bb-a153e6e29136,Joel Robinson,45,Female,Nathanielfort,Oregon,India,10-02-2023,No
18632a4d-fd85-402a-ab8c-9edf0000d8f3,Michelle Lewis,31,Male,Maddoxhaven,Idaho,India,04-03-2021,Yes
4f4a267d-8bcf-4580-a45f-7e62478207f3,Denise Reyes,42,Male,Jeffreystad,Virginia,India,15-04-2022,Yes
8bd7d12d-fa4a-4ab0-92f2-44775d6a8bc6,Casey Rodgers,34,Female,North Derrickside,Iowa,India,13-10-2023,Yes
f5bdbd30-bba8-4555-a574-0a23adbe1f67,Joshua Cunningham,37,Male,Quinnside,Nebraska,India,14-10-2024,Yes
30343466-e080-417e-a943-24c1f1a4d7ec,Andrew Bell,30,Female,West Daniel,Oregon,India,29-12-2023,No
bd135e2a-90ae-4a32-8324-271a5fa4a80b,Amanda Jones,36,Female,Sarahmouth,Oregon,India,26-12-2021,Yes
1e2b300d-2576-43ef-956f-690f0cd92aa9,Stacy Myers,55,Male,East Abigail,Michigan,India,07-09-2022,No
7e50e5ae-d3bb-4daa-ac6e-1cd423ee7b9f,Erica Walker,19,Male,Lake Nathanielburgh,Arkansas,India,03-06-2020,Yes
60981466-d21e-4d15-9ac5-4c41fc2fc8bb,Alex Lawrence,24,Male,Erinshire,Maryland,India,11-05-2020,Yes
1745e70c-0ac5-4ca0-8849-9a8224f22b98,Angel Hopkins,44,Female,Fergusonhaven,Colorado,India,28-01-2022,Yes
a3d359f9-1e37-44b4-99b0-b3c6f94d1c48,Kim Foster,23,Female,Kimberlyport,California,India,27-11-2023,Yes
467f13d7-0c65-4dce-a874-690783a27f32,Elizabeth Shields,27,Male,Roseborough,Arkansas,India,25-07-2024,No
bb862b9e-1241-46f0-a14f-d5cb16e8be92,Eric Mason,63,Male,South Jason,Florida,India,10-03-2022,No
e95a5141-ae72-4c1f-80af-224d18df5383,Jamie Hill,68,Male,Phillipsside,Iowa,India,09-05-2023,No
